hotel,QUANTIFIER,aspect,count,mean,median,std,min,max
bourbon,ACC,Atendimento da equipe,250,0.030325235658445703,0.0255576305054301,0.023785749930102996,0.0,0.1139048857105362
bourbon,ACC,Café da manhã,250,0.08020892938871071,0.06932800657149951,0.06048027143879993,0.0,0.4349535753638103
bourbon,ACC,Localização,250,0.15185603869052208,0.1405529953917051,0.11294950209339256,0.0,0.4618169848584595
bourbon,ACC,Quarto,250,0.040775572002933705,0.02999951228639805,0.040714867355518415,0.0,0.259889164202467
bourbon,ACC,Áreas comuns,250,0.05848419205488159,0.05705093698747425,0.04087919789188114,0.0,0.1718177238100438
bourbon,CC,Atendimento da equipe,250,0.022322752516141114,0.017331826218009952,0.01722227977844724,0.0,0.0981542805801566
bourbon,CC,Café da manhã,250,0.10213281626663864,0.0971147079521463,0.07167921753916619,0.0,0.3426565050084597
bourbon,CC,Localização,250,0.19501520497771493,0.18753649102320813,0.12296179020584687,0.0,0.5509677419354838
bourbon,CC,Quarto,250,0.08118871988020239,0.06506493506493499,0.061144782361916554,0.0004995589890203,0.2974174397031539
bourbon,CC,Áreas comuns,250,0.02579308965545555,0.01843344521173305,0.025536019664101756,0.0,0.17377107364685
bourbon,DyS,Atendimento da equipe,250,0.020119918949880335,0.01530415828338365,0.018100121155929252,4.4272190311588685e-05,0.0928500813327126
bourbon,DyS,Café da manhã,250,0.041526571977007605,0.03284301874241225,0.03388186971568464,4.416832168512887e-05,0.2172876645169108
bourbon,DyS,Localização,250,0.05279681849953438,0.0428769805241994,0.044945332262541,4.383380704682527e-05,0.2886791202120099
bourbon,DyS,Quarto,250,0.041494338793598325,0.03391480921623355,0.03389747856473329,4.4349883165720845e-05,0.1794633218190053
bourbon,DyS,Áreas comuns,250,0.035861207790286065,0.03036622943512835,0.027861191812784326,4.390670717737896e-05,0.1796630387946227
bourbon,EMQ,Atendimento da equipe,250,0.031289568880077466,0.02526445415907415,0.025850472519983986,1.610495591053418e-14,0.1470338193608453
bourbon,EMQ,Café da manhã,250,0.11518517731829052,0.11476822269905204,0.060336479672943935,1.96525215067668e-07,0.3437029587680463
bourbon,EMQ,Localização,250,0.417449175386755,0.44171079265583635,0.21919758018206417,3.0085712827282446e-10,0.8343791288931508
bourbon,EMQ,Quarto,250,0.04538526216772757,0.0322809849677808,0.04684071134015948,2.9394811090766026e-07,0.2855190272578723
bourbon,EMQ,Áreas comuns,250,0.10526001953007597,0.10226581738070314,0.05789835703593549,1.065692672996832e-13,0.2951981809853277
bourbon,FM,Atendimento da equipe,250,0.025121128400731274,0.021424728399421347,0.019487040785926342,0.0,0.1117708914062105
bourbon,FM,Café da manhã,250,0.08058974611082151,0.0702477322284284,0.058006555412514094,0.0,0.335982576699807
bourbon,FM,Localização,250,0.10922316884190915,0.08447954336857255,0.09654057277663611,0.0,0.4825652423606593
bourbon,FM,Quarto,250,0.04797365757336729,0.03500705142197626,0.044760293413708616,0.0,0.2609238465431556
bourbon,FM,Áreas comuns,250,0.044873168461996925,0.03206216512441695,0.04363621399929367,0.0,0.2614610895169283
bourbon,GPAC,Atendimento da equipe,250,0.028347259524915267,0.0241076637407683,0.022035965513461514,0.0,0.1085848789688014
bourbon,GPAC,Café da manhã,250,0.08451307605505072,0.07424465707197475,0.06334884956004189,0.0002486027222254,0.3079545951242551
bourbon,GPAC,Localização,250,0.1936111454608154,0.1376187607298957,0.21346834891911384,0.0,0.9838709677419354
bourbon,GPAC,Quarto,250,0.04433287852751036,0.03440821775565755,0.040723468769222504,0.0,0.2395737653156394
bourbon,GPAC,Áreas comuns,250,0.059497714478087396,0.057393751537192145,0.039674042152490645,0.0,0.1536810045632148
bourbon,HDy,Atendimento da equipe,250,0.021658431523552776,0.017237838531639002,0.017119476058653542,0.0,0.0897381594147093
bourbon,HDy,Café da manhã,250,0.04819802955665017,0.04031271991555235,0.03896219093548769,0.0,0.2442030260380013
bourbon,HDy,Localização,250,0.07493924292297563,0.0673650427913101,0.049635694569350595,0.0,0.2481764318630678
bourbon,HDy,Quarto,250,0.0338942115027829,0.0256989795918367,0.031086449079070256,0.0,0.1695320037105752
bourbon,HDy,Áreas comuns,250,0.04166644188110025,0.037057083703046445,0.03104491795766274,0.0,0.166932860100562
bourbon,MAX,Atendimento da equipe,250,0.025805330025997466,0.0202798100372224,0.019859234978548444,0.0,0.0869863739529995
bourbon,MAX,Café da manhã,250,0.08029274735108514,0.07114196925971436,0.06042988670320104,0.0,0.3386666702938253
bourbon,MAX,Localização,250,0.08908192094953274,0.0686623036311299,0.07835834995255958,0.0,0.3840710994075049
bourbon,MAX,Quarto,250,0.04600683529372026,0.03191599053797465,0.04521860035327674,0.0,0.2701100501843053
bourbon,MAX,Áreas comuns,250,0.018012930671275466,0.01766137110761825,0.011419248448878724,0.0,0.0444550733876806
bourbon,MS,Atendimento da equipe,250,0.034715239001089,0.030469181318912603,0.02492733645475961,0.0,0.1453797809900212
bourbon,MS,Café da manhã,250,0.048429491936356844,0.038867594262044544,0.04139519963954465,0.0,0.2417452042720787
bourbon,MS,Localização,250,0.22732080888902886,0.2125682521188764,0.1460352711803971,0.0,0.7621486175115207
bourbon,MS,Quarto,250,0.045565771799481375,0.0361330909541243,0.04258850000010833,0.0,0.3002605056932373
bourbon,MS,Áreas comuns,250,0.04931079126131307,0.041738621582340305,0.03501296820340055,0.0,0.1776594695849352
bourbon,MS2,Atendimento da equipe,250,0.037545891821498284,0.03581784605558015,0.026685091315507534,0.0,0.1366148953543324
bourbon,MS2,Café da manhã,250,0.045241567646585344,0.03385657854217,0.044460797135007175,0.0,0.2779772235855212
bourbon,MS2,Localização,250,0.08800708221689785,0.07269690734141634,0.06773896285433963,0.0,0.3687633722843975
bourbon,MS2,Quarto,250,0.046750400072862144,0.0394923238804818,0.04214057916762301,0.0001739909643477,0.2792233331980698
bourbon,MS2,Áreas comuns,250,0.04312023383272843,0.0402247855664004,0.029792161180219722,0.0,0.1649216208222419
bourbon,PACC,Atendimento da equipe,250,0.03650563237290446,0.032829554410936046,0.026247695608185812,0.0,0.141958670260557
bourbon,PACC,Café da manhã,250,0.04373811186772338,0.034274529085494804,0.03803211350544028,0.0,0.2492133415225352
bourbon,PACC,Localização,250,0.08794945052048352,0.0764170781288669,0.0661024166782867,0.0001268868646791,0.3011854163000688
bourbon,PACC,Quarto,250,0.04891458825158632,0.038875208141314496,0.038890234351067955,3.707788843217846e-05,0.1975096807736664
bourbon,PACC,Áreas comuns,250,0.052112605921927665,0.049290683309589745,0.0358412682687748,0.0,0.1821583308804013
bourbon,PCC,Atendimento da equipe,250,0.06130385838789543,0.0608076673880315,0.03633742266226196,0.0001405809323361,0.1694272283673778
bourbon,PCC,Café da manhã,250,0.11300402863412992,0.0936959957455997,0.07917880891247099,0.000952351655876,0.3258047455880014
bourbon,PCC,Localização,250,0.2592709629876073,0.2234497496483327,0.1852321353853549,0.0007350345237251,0.6500389702387097
bourbon,PCC,Quarto,250,0.1161393297734811,0.11774447676025321,0.06950378568157593,0.0011567241466582,0.2642197114194546
bourbon,PCC,Áreas comuns,250,0.07716048046155499,0.073974776359929,0.046691013920637674,0.0029902053628845,0.1960011293100189
bourbon,PWK,Atendimento da equipe,250,0.02578579881829143,0.017159839262265053,0.04609861222675886,0.0002567064561674,0.5
bourbon,PWK,Café da manhã,250,0.10228548669651272,0.08408691062631946,0.07891254226119683,0.0004304729962417,0.5
bourbon,PWK,Localização,250,0.22105817332345823,0.20789729995524087,0.135526275870143,0.0008031599736668,0.5702435813034891
bourbon,PWK,Quarto,250,0.08534019672131142,0.07408148058030956,0.06105548392857462,0.0002390046927861,0.3339851576994433
bourbon,PWK,Áreas comuns,250,0.033404307329670785,0.01672877846790885,0.07063734271793146,0.0,0.4999999999999999
bourbon,SMM,Atendimento da equipe,250,0.03980268683315133,0.03543086972765445,0.030181043223233207,0.0,0.1615658664274157
bourbon,SMM,Café da manhã,250,0.04676555540526474,0.038274095757537555,0.03841858644998298,0.0,0.2111227291985936
bourbon,SMM,Localização,250,0.08367419814356833,0.0671296329416594,0.06851733583799456,0.0,0.3600120465523085
bourbon,SMM,Quarto,250,0.05017002208940844,0.039262142937025804,0.044389030111305114,0.0,0.2557948698656139
bourbon,SMM,Áreas comuns,250,0.05393778439820009,0.0508378865210389,0.03483600897611559,0.0,0.1893373004800733
