Hotel,Total Reviews,Positive Reviews,Negative Reviews,Categorias
bourbon,1254,1032,222,"Quarto, Localização, Áreas comuns, Atendimento da equipe, Café da manhã"
continental,310,255,55,"Atendimento da equipe, Quarto"
foz_plaza,468,371,97,"Atendimento da equipe, Quarto, Áreas comuns"
nadai,812,607,205,"Atendimento da equipe, Quarto, Áreas comuns, Café da manhã"
taroba,4316,3522,794,"Atendimento da equipe, Experiência, Café da manhã, Restaurante/Bar, Banheiro, Quarto, Localização, Áreas comuns"
viale_cataratas,930,656,274,"Quarto, Áreas comuns, Experiência, Café da manhã, Atendimento da equipe, Restaurante/Bar"
viale_tower,1324,997,327,"Localização, Quarto, Café da manhã, Atendimento da equipe, Áreas comuns, Experiência"
